country,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021
Afghanistan,11.248536585365853,11.09109756097561,12.23503048780488,14.414420731707319,14.022286585365855,14.296859756097561,13.01137195121951,14.478384146341464,15.003018292682926,14.3275,15.214298780487805,15.223780487804877,15.5175,18.476371951219512,16.517987804878047,15.332134146341462,15.778231707317074,16.468231707317074,16.68079268292683,15.59234756097561,14.301615853658538,16.88573170731707,17.142713414634148,17.2609756097561,0.6126219512195122,0.5969817073170732,0.7092073170731708,0.922530487804878,0.8840243902439023,0.9111280487804879,0.7847865853658538,0.9290548780487805,0.9803048780487805,0.9139329268292682,1.0007621951219512,1.001859756097561,1.0307621951219512,1.3208536585365853,1.1289329268292683,1.0126219512195123,1.056310975609756,1.123780487804878,1.1445426829268293,1.038079268292683,0.9114939024390245,1.1649085365853658,1.19,1.2015548780487806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024390243902439024,0.0,0.0,0.0,0.0006402439024390244,0.0005182926829268292,0.0,0.0,0.0019207317073170731,0.006890243902439025,0.005975609756097561
Akrotiri and Dhekelia,11.58,11.515,13.825,12.78,11.059999999999999,11.535,10.825,12.024999999999999,11.975,12.2,12.085,12.46,10.745000000000001,16.11,17.68,12.07,11.379999999999999,11.915,10.92,11.33,10.094999999999999,9.84,10.855,11.385,0.645,0.635,0.86,0.765,0.595,0.64,0.5700000000000001,0.685,0.685,0.7050000000000001,0.6950000000000001,0.73,0.56,1.0899999999999999,1.245,0.6950000000000001,0.625,0.6799999999999999,0.585,0.62,0.5,0.475,0.575,0.625,,,,,,,,,,,,,,,,,,,,,,,,
Albania,16.865405405405404,15.637297297297298,17.362702702702702,16.527027027027028,18.48918918918919,20.197567567567567,15.982432432432432,17.53081081081081,19.736216216216217,18.438378378378378,15.796486486486486,14.863243243243245,12.054864864864864,20.973783783783784,18.161351351351353,14.882972972972972,13.265405405405405,16.472972972972972,13.923243243243242,15.08108108108108,14.691081081081082,13.68918918918919,13.35027027027027,13.48972972972973,1.1632432432432431,1.0424324324324323,1.211891891891892,1.1300000000000001,1.3221621621621622,1.488918918918919,1.0764864864864865,1.2278378378378378,1.4443243243243242,1.3175675675675675,1.057027027027027,0.967027027027027,0.6918918918918919,1.565135135135135,1.2899999999999998,0.9683783783783784,0.8099999999999999,1.1243243243243244,0.8735135135135135,0.9878378378378377,0.9494594594594595,0.8518918918918919,0.818918918918919,0.8327027027027026,0.0,0.0,0.0,0.0,0.006216216216216217,0.011891891891891892,0.0,0.0,0.01783783783783784,0.007297297297297297,0.0,0.0,0.0,0.07162162162162163,0.03189189189189189,0.0013513513513513514,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,6.0595412234042545,5.463989361702128,5.864375,5.9401994680851065,5.941509308510638,7.4326329787234044,5.375279255319149,6.820259308510638,6.813164893617022,6.579468085106384,5.585093085106383,6.321050531914894,5.260851063829787,6.699960106382979,6.485086436170213,6.290625,5.080598404255319,6.624341755319149,5.301642287234043,6.252672872340426,5.696136968085106,5.772386968085106,5.503171542553192,5.87188829787234,0.1271276595744681,0.07195478723404256,0.1078590425531915,0.11324468085106383,0.10882313829787235,0.24682845744680854,0.05451462765957447,0.1888962765957447,0.18710771276595747,0.16811170212765958,0.0718284574468085,0.14358377659574467,0.0463563829787234,0.17737367021276595,0.15668218085106383,0.1385837765957447,0.034301861702127664,0.17150265957446809,0.055551861702127656,0.14081117021276596,0.08481382978723405,0.09634973404255319,0.06815824468085106,0.10086436170212765,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,0.7675,0.925625,1.1812500000000001,1.099375,1.25,1.295625,1.0225,1.50125,1.310625,1.314375,1.095,1.296875,1.09,0.9924999999999999,1.151875,1.1243750000000001,1.2462499999999999,1.46875,1.2775,1.299375,1.409375,1.365,1.12625,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,8.778571428571428,8.434285714285714,9.018571428571429,9.528571428571428,9.755714285714287,10.534285714285714,9.59,10.065714285714284,9.27,9.35,8.464285714285714,8.781428571428572,9.407142857142857,8.97,7.882857142857143,7.5128571428571425,6.642857142857143,7.398571428571429,6.814285714285715,6.764285714285714,7.121428571428572,6.017142857142857,6.594285714285713,7.408571428571428,0.37142857142857144,0.33571428571428574,0.39571428571428574,0.4442857142857143,0.46714285714285714,0.5428571428571429,0.45142857142857146,0.49714285714285716,0.42,0.4257142857142857,0.34142857142857147,0.37142857142857144,0.43285714285714283,0.39,0.2814285714285714,0.24714285714285714,0.16142857142857142,0.2342857142857143,0.17714285714285713,0.17285714285714285,0.20714285714285713,0.10142857142857142,0.15714285714285717,0.23571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,19.672392638036808,16.774110429447852,18.89638036809816,23.833742331288345,21.703190184049078,20.68104294478528,21.13552147239264,23.276871165644174,19.279079754601227,22.965766871165645,24.059447852760737,22.13834355828221,26.27889570552147,23.46116564417178,23.474846625766872,23.784478527607362,20.708159509202453,22.60552147239264,21.938957055214726,19.978957055214725,20.58116564417178,22.132699386503067,18.790061349693254,18.789815950920246,1.438282208588957,1.1538650306748468,1.3617791411042945,1.845398773006135,1.636687116564417,1.5371779141104294,1.5814110429447852,1.7914723926380367,1.3993251533742332,1.760674846625767,1.8677300613496932,1.679754601226994,2.0849079754601227,1.809079754601227,1.8101840490797547,1.8411042944785276,1.5393251533742331,1.7254601226993864,1.659754601226994,1.4678527607361962,1.527116564417178,1.679079754601227,1.3515950920245399,1.351288343558282,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,2.6806666666666668,3.5933333333333333,2.9553333333333334,3.23,2.3320000000000003,2.6246666666666667,2.4679999999999995,3.4153333333333333,3.064,2.6266666666666665,2.4153333333333333,2.5806666666666667,4.2,2.44,3.086,2.0653333333333332,2.0733333333333333,2.316666666666667,2.6199999999999997,2.4593333333333334,2.124,2.064,2.112,2.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2.641428571428571,3.2214285714285715,3.0171428571428573,3.052857142857143,2.434285714285714,2.802857142857143,2.7671428571428573,3.367142857142857,3.141428571428571,2.6114285714285717,2.642857142857143,2.9914285714285715,4.058571428571429,2.807142857142857,3.0185714285714282,2.2114285714285713,2.27,2.4857142857142853,2.7885714285714287,2.4785714285714286,2.46,2.3742857142857146,2.087142857142857,2.4085714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,11.489661354581674,12.644541832669324,12.040717131474103,12.035796812749005,12.383764940239043,12.572051792828685,12.160059760956177,11.390836653386454,12.255956175298804,12.787310756972111,12.620756972111554,11.127290836653385,10.591852589641434,11.835537848605577,11.175776892430278,11.218964143426295,11.273725099601593,11.345956175298804,11.648705179282867,10.94414342629482,10.718027888446215,10.889840637450199,12.232888446215139,11.153625498007967,0.6381274900398406,0.7510159362549801,0.6920517928286853,0.691394422310757,0.7246613545816732,0.7439840637450199,0.7033665338645417,0.6278286852589642,0.7126494023904383,0.7649203187250996,0.748585657370518,0.6025099601593625,0.5499601593625497,0.671394422310757,0.6078286852589642,0.6114143426294821,0.6159362549800796,0.6232270916334661,0.6528486055776893,0.5839442231075697,0.5618326693227093,0.5785258964143427,0.7105378486055777,0.6046812749003985,0.03768924302788845,0.08950199203187251,0.036075697211155375,0.019721115537848607,0.05266932270916335,0.06430278884462151,0.03796812749003984,0.024621513944223107,0.049940239043824705,0.09589641434262948,0.059800796812749,0.028306772908366536,0.018207171314741036,0.051952191235059765,0.025258964143426293,0.02691235059760956,0.023844621513944224,0.02456175298804781,0.03549800796812749,0.0150199203187251,0.013844621513944224,0.01695219123505976,0.056792828685258964,0.024780876494023902
